Channel ID,URL,Post ID,date,message,out,mentioned,media_unread,silent,post,from_scheduled,legacy,edit_hide,pinned,noforwards,peer_channel,from_id_user,fwd_from,via_bot_id,reply_to_msg_id,reply_to_scheduled,forum_topic,media_photo_id,reply_markup,views,forwards,replies,edit_date,post_author,grouped_id,reactions,restriction_reason,ttl_period
usnhub,https://t.me/usnhub,2474,2024-03-03 02:46:53,<NRP> hari <PERSON> 😊,False,False,False,False,True,False,False,True,False,False,1762746795,,,,924.0,False,False,,,24.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15370, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-03T02:46:57+00:00,,,,[],
usnhub,https://t.me/usnhub,2906,2024-03-13 04:25:49,@pejuh enak,False,False,False,False,True,False,False,True,False,False,1762746795,,,,,,,,,61.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 17434, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-13T04:25:52+00:00,,,,[],
cheapsmmmarketer,https://t.me/cheapsmmmarketer,668,2024-03-07 07:02:51,"Dear Users,
Try this package
Its working perfectly order completing on time 
Regards 
Cheapsmmmarket.com",False,False,False,False,True,False,False,False,False,False,1641701890,,,,,,,6.289379954999279e+18,,21.0,0.0,,,,,,[],
mail_access_private,https://t.me/mail_access_private,406,2024-02-03 19:24:37,"Thank you all, friends 

There are only <DATE_TIME> places in private channel, price is relevant <DATE_TIME>, in <DATE_TIME> I will raise prices.

Price Private Channel :
<DATE_TIME>$
<DATE_TIME>$

@sasss_ka",False,False,False,False,True,False,False,True,False,False,1994848622,,,,402.0,False,False,,,1218.0,1.0,,2024-02-06T08:20:47+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 5, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
freecombolistdaily,https://t.me/freecombolistdaily,2911,2024-02-17 22:34:54,"♦️ 18GB GMAIL Combolist ♦️

$180

hurry up!

only one copy!

@paulofrank21",False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2024-02-17T22:34:29+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 5127, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,44.0,0.0,,,,,,[],
adsbinfree,https://t.me/adsbinfree,801,2024-02-27 17:36:55,"IBAN METHOD. 

1. You Want Boost Option on A Indonesia Instagram Account. 

2. Go to Ads Payment option. 

3. <PERSON> currency. Look my scanshort. 

4. Generate Iban a Telegram bot: @csk_sellerbot

5.Put iban payments method. 

Congratulated your iban added backup.

Next make default it’s and Runner-up boost and remove it’s ageing. 

Look showed Not Delivery than add ageing iban same as Admanager. And save change your boost. It's done.",False,False,False,False,True,False,False,True,False,False,1621110337,,"{'_': 'MessageFwdHeader', 'date': '2024-02-27T17:31:56+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1963294780}, 'from_name': None, 'channel_post': 491, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,6.264752801502576e+18,,310.0,7.0,,2024-02-27T17:37:03+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 5, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
oguserstock,https://t.me/oguserstock,2857,2024-03-04 09:51:23,"🧐 Selling another 2L:

@ym 🆕
C/O 5k$
BIN 6k$

✏️ Note: This username is proxy for a close friend, any <PERSON> accepted. 

📥 @Clemency",False,False,False,True,True,False,False,False,False,False,1413688447,,,,,,,,,8.0,1.0,,2024-03-04T09:53:32+00:00,tqm,,,[],
accountsforsalelucagency,https://t.me/accountsforsalelucagency,254,2024-01-19 06:38:14,"🔤🔤🔤🔤🔤🔤🔤🔤   🔤🔤   🔤🔤🔤🔤🔤🔤🔤   🔤🔤🔤🔤🔤   🔤🔤🔤🔤🔤

Today we have Facebook ad account $1500 limit have history spending
🍀 Spent 6.33 EUR
🍀 Threshold 40EUR
🍀 Time zone -8US
‼️Warranty back in <DATE_TIME>

Contact us now to get it 🔥
✅https://t.me/Alice_LucaAgency
✅https://t.me/aimee_lucagency
✅https://t.me/Hazel_Lucagency
✅https://t.me/Christina_LucaAgency
✅https://t.me/Jena_lucagency

Check out our website: https://lucagency.net/",False,False,False,False,True,False,False,True,False,False,1508304920,,,,,,,6.149919910176864e+18,,126.0,3.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 506, 'comments': True, 'recent_repliers': [], 'channel_id': 1862544107, 'max_id': None, 'read_max_id': None}",2024-02-24T10:00:35+00:00,Alice | Account Executive Luca Agency,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
usnhub,https://t.me/usnhub,2575,2024-03-04 10:58:04,tentu <PERSON>,False,False,False,False,True,False,False,True,False,False,1762746795,,,,2337.0,False,False,,,63.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15768, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-04T10:58:07+00:00,,,,[],
usnhub,https://t.me/usnhub,2995,2024-03-17 04:56:02,<PERSON> iphone nya ada 10 kan ? <PERSON>,False,False,False,False,True,False,False,True,False,False,1762746795,,,,2990.0,False,False,,,43.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 17789, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-17T04:56:05+00:00,,,,[],
adsbinfree,https://t.me/adsbinfree,722,2024-01-27 13:43:17,"<DATE_TIME> am give my all private members cards Check Facebook ads so don’t miss class <DATE_TIME>.


Class Bangladesh time : <DATE_TIME> time <DATE_TIME>

Telegram: @fbadspro11",False,False,False,False,True,False,False,False,False,False,1621110337,,,,,,,,,2037.0,2.0,,2024-01-27T15:10:43+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
oguserstock,https://t.me/oguserstock,2879,2024-03-28 19:03:56,"📱 Active services RN:

- Lookups
- Suspicious login bypass
- 2FA Remove
- Unbans (SPAM / Arti / Imper)

I can fulfill this services easily so i will keep taking orders for them.

Bump my messages if you have any inquiry regarding any of the stated services. I need a lil break but this services are easy for me.

📥 @Clemency",False,False,False,False,True,False,False,False,False,False,1413688447,,,,,,,,,26.0,0.0,,2024-03-28T19:05:02+00:00,tqm (slow replies),,,[],
trickadsagency,https://t.me/trickadsagency,1625,2024-03-25 12:36:04,Thanks Brothers.... Love you❤️,False,False,False,False,True,False,False,True,False,False,1882829410,,"{'_': 'MessageFwdHeader', 'date': '2024-03-25T12:35:45+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1621110337}, 'from_name': None, 'channel_post': 940, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,6.057362634803625e+18,,151.0,0.0,,2024-03-25T12:36:06+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 2, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
akgoogleads,https://t.me/akgoogleads,1599,2024-02-04 18:23:15,"175$ account available in 35$
Daily limit 750
Only interested people ping us 

@adworseller",False,False,False,False,True,False,False,False,False,False,1303629620,,,,,,,6.194769728208224e+18,,755.0,1.0,,2024-02-04T18:23:43+00:00,Adwordseller 🔵,,,[],
freecombolistdaily,https://t.me/freecombolistdaily,2925,2024-02-20 20:39:34,UK Mailaccess All Target,False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2023-12-21T22:46:56+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 4887, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,6.0643920617481e+18,,8.0,0.0,,,,,,[],
membersa_channel,https://t.me/membersa_channel,28,2024-01-26 18:06:13,"🔠🔠🔠🔠🔠🔠🅰️🔠  ➖ 🔠🅰️🔠🔠


▶️ Search & rank Booster

🟢Premium Members (<DATE_TIME> nondrop)
🟢Premium Start bot (lifetime non drop)
🟢Boost channel (story activation - <DATE_TIME>)

🏳️ Mixed Worldwide Premium services
🇮🇷 Iran Premium services
<PERSON>🇷 Turkey Premium services
🇸🇦 Arab Premium services
🇮🇳 <NRP> Premium services
🇺🇿 <NRP> Premium services
🇺🇸 USA Premium services 
🇮🇱 Israel Premium services


‼️#1 Cheapest & Best Services Provider
🛡 @supimo
🔗Automatic Panel : GetMeFollowers.org",False,False,False,False,True,False,False,False,False,False,1724873571,,,,,,,,,22.0,0.0,,,,,,[],
freecombolistdaily,https://t.me/freecombolistdaily,2920,2024-02-19 20:01:57,"Private Combolist from All Countries available!

restock <DATE_TIME>

[+] 56M Crypto Combolist ✅

restock <DATE_TIME>

[+] 66M FR Combolist ✅

restock <DATE_TIME>

[+] 41.5M DE Combolist ✅

restock <DATE_TIME> :

[+] 120M UHQ USA Combolist ✅
[+] 56M Outlook Combolist ✅

Payment :

All Types of Crypto

Waste of time = block!

Status : 

✅ = available
❌ = sold


@paulofrank21",False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2024-02-17T22:33:39+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 5125, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,7.0,0.0,,,,,,[],
usnhub,https://t.me/usnhub,2292,2024-02-26 08:20:57,<PERSON> ? 👀,False,False,False,False,True,False,False,True,False,False,1762746795,,"{'_': 'MessageFwdHeader', 'date': '2024-02-26T08:17:31+00:00', 'imported': False, 'saved_out': False, 'from_id': None, 'from_name': '𝐄vöxie !', 'channel_post': None, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,65.0,0.0,"{'_': 'MessageReplies', 'replies': 2, 'replies_pts': 14509, 'comments': True, 'recent_repliers': [{'_': 'PeerChannel', 'channel_id': 1906509669}], 'channel_id': 1906509669, 'max_id': 4051, 'read_max_id': None}",2024-02-26T08:21:00+00:00,,,,[],
adsbinfree,https://t.me/adsbinfree,715,2024-01-02 13:01:03,Am ready for go in India..... <PERSON>,False,False,False,False,True,False,False,True,False,False,1621110337,,,,,,,6.097973771085397e+18,,1943.0,1.0,,2024-01-02T13:01:44+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 2, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
oguserstock,https://t.me/oguserstock,2826,2024-01-12 22:13:54,"📱 Cheapest Instagram Lookups in com:

Get any instagram users linked email, phone number and DOB (verifieds too)

Starting from 290$+

📥 @Clemency",False,False,False,False,True,False,False,False,False,False,1413688447,,,,,,,,,1014.0,8.0,,2024-01-30T00:19:54+00:00,tqm,,,[],
freecombolistdaily,https://t.me/freecombolistdaily,2967,2024-02-24 00:17:53,"<NRP>Sell Databases<NRP>

🗂 Format : Mail:Pass

🌍 Country : USA, UK, DE, FR, IT, BR, BG, AT, PL, CZ, CA, NL, CH, BE. (and other) 

🆘Good for many service (example) : Social Network, Social media, Electronic wallet, BA, Game, Crypto, VPN, Online stores, Online booking and other service . 


✅Hits High (<PERSON>)
✅Guaranteed Quality & Hits
✅ Request Order

‼️I sell what you need‼️

@paulofrank21",False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2024-02-24T00:06:58+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 5205, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,16.0,0.0,,,,,,[],
nxxvo,https://t.me/nxxvo,2625,2024-02-27 14:53:42,"Verified Telegram Channel✅

-i ll transfer ownership 
-Legits Channels
-Very safe 

Trusted🚀

🔵 <NRP>",False,False,False,True,True,False,False,False,False,False,1722074717,,,,,,,5.976564571864943e+18,,12.0,0.0,,,Nova,,,[],
metabinsthreshold,https://t.me/metabinsthreshold,292,2024-02-26 10:31:37,"5 accounts available each 250$ .
Spending guarantee ✅
Price -300$ 
@Facebookbins1",False,False,False,False,True,False,False,False,False,False,1767080300,,,,290.0,False,False,,,91.0,0.0,,,,,,[],
membersa_telegram,https://t.me/membersa_telegram,134,2024-03-17 15:30:27,"🎚New Premium #Telegram Services

⭐️ 4350 - Telegram Premium members - [<DATE_TIME>] ⛔️ / 4.44$
⭐️ 4351 - Telegram Premium members - [<DATE_TIME>] ⛔️ / 7.41$
⭐️ 4352 - Telegram Premium members - [<DATE_TIME>] ⛔️ / 8.89$
⭐️ 4353 - Telegram Premium members - [<DATE_TIME>] ⛔️ / 10.38$


👑 1 #Cheapest & Best Services Provider
🔗Panel : GetMeFollowers.org",False,False,False,False,True,False,False,False,False,False,1899525695,,,,,,,,,27.0,0.0,,,,,,[],
instafollowerrv,https://t.me/instafollowerrv,59,2024-03-19 03:18:19,"‼️ New Service 

📈 Get ready to rise 

🌐 Instagram followers with full <NRP> location are available for sale. ✅

Delivery in <DATE_TIME>.🏪

Contact : @Himperiestro and @alpacinoxd 👍",False,False,False,False,True,False,False,False,False,False,1803585302,,,,,,,,,1.0,0.0,,,,,,[],
usnhub,https://t.me/usnhub,2507,2024-03-03 13:01:31,"<PERSON> tdk sejahat <PERSON>"" ke bot <PERSON>",False,False,False,False,True,False,False,True,False,False,1762746795,,,,2337.0,False,False,,,5.0,0.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 15501, 'comments': True, 'recent_repliers': [], 'channel_id': 1906509669, 'max_id': None, 'read_max_id': None}",2024-03-03T13:01:34+00:00,,,,[],
mail_access_private,https://t.me/mail_access_private,462,2024-02-26 22:21:51,"If you are looking for good data <DATE_TIME>, my cloud has data from Europe and USA (also some CIS)
Daily updates. Fresh data <DATE_TIME>. Not a garbage cloud like 90% of channels, just try it. Over time, the price will be higher, have time to get access a good price.

Price Private Cloud 
20$ - 1 week
50$ - 1 month
@sasss_ka - admin

P.S. Thank you all, there are already 1,500 of us on channel 😘❤",False,False,False,False,True,False,False,False,False,False,1994848622,,,,,,,,,1976.0,4.0,,2024-02-26T22:25:07+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🕊'}, 'count': 4, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 3, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🐳'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
freecombolistdaily,https://t.me/freecombolistdaily,2980,2024-02-25 19:08:51,"♦️ 31GB DOMAIN USA Combolist ♦️

$250

hurry up!

only one copy!

@paulofrank21",False,False,False,False,True,False,False,False,False,False,1716787216,,"{'_': 'MessageFwdHeader', 'date': '2024-02-24T00:06:47+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1736488447}, 'from_name': None, 'channel_post': 5204, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,,,2.0,0.0,,,,,,[],
vodka_free,https://t.me/vodka_free,477,2024-03-14 14:25:55,<PERSON>  #Brasilitalia#,False,False,False,False,True,False,False,False,False,False,1924679759,,,,,,,,,157.0,1.0,,,Owner,,,[],
trickadsagency,https://t.me/trickadsagency,1524,2024-02-09 10:59:27,"Unlimited virtual card. 


Link: https://url.hk/i/en/m0n4c",False,False,False,False,True,False,False,True,False,False,1882829410,,"{'_': 'MessageFwdHeader', 'date': '2024-02-09T10:59:00+00:00', 'imported': False, 'saved_out': False, 'from_id': {'_': 'PeerChannel', 'channel_id': 1621110337}, 'from_name': None, 'channel_post': 740, 'post_author': None, 'saved_from_peer': None, 'saved_from_msg_id': None, 'saved_from_id': None, 'saved_from_name': None, 'saved_date': None, 'psa_type': None}",,,,,6.210724848813062e+18,,589.0,1.0,,2024-02-09T10:59:35+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 4, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
mystorypolls,https://t.me/mystorypolls,17370,2024-01-25 16:24:39,Food Polls 😍,False,False,False,True,True,False,False,False,False,False,1344163371,,,,,,,6.167883336014478e+18,,323.0,0.0,,,B,1.3649599034722772e+16,,[],
metabinsthreshold,https://t.me/metabinsthreshold,294,2024-03-09 11:10:49,"Available
Give your offer 
@FacebookBins1",False,False,False,False,True,False,False,True,False,False,1767080300,,,,,,,6.008026362654343e+18,,198.0,0.0,,2024-03-09T19:41:46+00:00,,,"{'_': 'MessageReactions', 'results': [{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}], 'min': False, 'can_see_list': False, 'reactions_as_tags': False, 'recent_reactions': []}",[],
themediamarket,https://t.me/themediamarket,893,2024-03-26 00:22:38,"Also buying; cities, countries, and travel users",False,False,False,False,True,False,False,True,False,False,1698374657,,,,892.0,0.0,0.0,,,188.0,1.0,"{'_': 'MessageReplies', 'replies': 0, 'replies_pts': 34, 'comments': True, 'recent_repliers': [], 'channel_id': 2001542917, 'max_id': None, 'read_max_id': None}",2024-03-26T00:22:42+00:00,,,,[],
